ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
44495;Lepna postipunkt (Raamatukogu);1;EE;Lääne-Viru maakond;Rakvere vald;Lepna alevik;;Lasteaia tn;;4;;26.290222;59.332411;E,T,N,R 10:30-17:30 K 12:30-18:30 L,P SULETUD;;;;;;;;;;2025-05-23T18:12:36.410+03:00
90394;Lihula postipunkt (raamatukogu);1;EE;Pärnu maakond;Lääneranna vald;Lihula linn;;Tallinna mnt;;25;;23.834562;58.687289;"T,K,N,R 11:00-15:00 E,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-22T16:02:01.093+03:00
91092;Linnamäe postipunkt;1;EE;Lääne maakond;Lääne-Nigula vald;Linnamäe küla;;Hansuküla tee;;2/1;;23.718437;58.99582;"E,K 09:00-17:00 T,N 12:00-19:00 R,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-22T16:02:54.847+03:00
74895;Loksa postipunkt;1;EE;Harju maakond;Loksa linn;;;Papli tn;;2;;25.721537;59.582049;"T,K,N,R 10:00-16:00 L 10:00-13:00 E,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T10:06:34.107+03:00
74101;Maardu postkontor;1;EE;Harju maakond;Maardu linn;;;Keemikute tn;;2;;25.0201;59.473616;"E,T,K,N,R 10:00-19:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:33:43.083+03:00
90694;Martna postipunkt (raamatukogu);1;EE;Lääne maakond;Lääne-Nigula vald;Martna küla;;;Martna lasteaed;;;23.803207;58.856588;"E 09:30-16:00 K 10:00-16:30 R 10:00-15:00 T,N,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-05T11:46:33.570+03:00
12701;Mustika postkontor;1;EE;Harju maakond;Tallinn;Mustamäe linnaosa;;Karjavälja tn;;4;;24.681539;59.410937;"E,T,K,N,R 10:00-20:00 L 10:00-16:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:34:13.177+03:00
93694;Mustjala postipunkt;1;EE;Saare maakond;Saaremaa vald;Mustjala küla;;Kooli tn;;1;;22.232604;58.463174;"E 09:00-17:00 T,K,N 08:00-16:00 R 08:00-14:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-05T16:37:53.187+03:00
69794;Mustla postipunkt;1;EE;Viljandi maakond;Viljandi vald;Mustla alevik;;Posti tn;;52b;;25.866224;58.234933;"E,K,N,R 09:00-17:00 T 09:00-18:00 L 09:00-14:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-29T16:54:10.320+03:00
49694;Mustvee postipunkt;1;EE;Jõgeva maakond;Mustvee vald;Mustvee linn;;Tartu tn;;12;;26.943658;58.847078;E,T,K,R 10:00-14:00 N 14:00-18:00 L,P SULETUD;;;;;;;;;;2025-05-22T16:01:23.143+03:00
29094;Narva-Jõesuu postipunkt;1;EE;Ida-Viru maakond;Narva-Jõesuu linn;Narva-Jõesuu linn;;Kesk tn;;3;;28.041597;59.459856;T,K,N,R 11:00-14:00, 15:00-19:00 L 10:00-16:00 E,P SULETUD;;;;;;;;;;2025-04-15T10:21:07.483+03:00
94691;Orissaare postipunkt;1;EE;Saare maakond;Saaremaa vald;Orissaare alevik;;Kuivastu mnt;;39a;;23.086211;58.558421;E,N 09:00-15:00 K 12:00-18:00 T,R,L,P SULETUD;;;;;;;;;;2025-05-28T09:24:12.890+03:00
67495;Otepää postipunkt;1;EE;Valga maakond;Otepää vald;Otepää linn;;Pühajärve tee;;2;;26.49366;58.056872;E,T,K,N,R 10:00-16:00 L,P SULETUD;;;;;;;;;;2025-04-15T10:25:36.070+03:00
72701;Paide postkontor;1;EE;Järva maakond;Paide linn;Paide linn;;Pärnu tn;;55;;25.558437;58.887071;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:34:54.350+03:00
11901;Pirita postkontor;1;EE;Harju maakond;Tallinn;Pirita linnaosa;;Rummu tee;;4;;24.827395;59.462443;"E,T,K,N,R 10:00-19:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:36:02.193+03:00
