ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96250;Padise Keskuse tee pakiautomaat;0;EE;Harju maakond;Lääne-Harju vald;Padise küla;;;Keskuse tee;;;24.145623;59.224487;;;;;;;;;;;2025-01-15T12:34:29.050+02:00
96207;Paide Coop Maksimarket pakiautomaat;0;EE;Järva maakond;Paide linn;Paide linn;;Ringtee;;2;;25.538995;58.886111;;;;;;;;;;;2025-01-08T11:51:45.430+02:00
96388;Paide Pärnu 55 pakiautomaat;0;EE;Järva maakond;Paide linn;Paide linn;;Pärnu tn;;55;;25.558437;58.887071;;;;;;;;;;;2025-01-09T16:23:08.687+02:00
96037;Paide Selveri pakiautomaat;0;EE;Järva maakond;Paide linn;Paide linn;;Aiavilja tn;;4;;25.563311;58.885469;;;;;;;;;;;2025-01-17T11:21:13.357+02:00
96158;Paikuse Coop Konsumi pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Paikuse alev;;Pärnade pst;;1;;24.618326;58.373772;;;;;;;;;;;2025-01-08T11:30:03.753+02:00
96257;Palamuse pakiautomaat;0;EE;Jõgeva maakond;Jõgeva vald;Palamuse alevik;;Uus tn;;1;;26.585179;58.685409;;;;;;;;;;;2024-07-08T10:34:01.153+03:00
96203;Paldiski Coop Konsumi pakiautomaat;0;EE;Harju maakond;Lääne-Harju vald;Paldiski linn;;Rae tn;;38;;24.055929;59.352619;;;;;;;;;;;2025-01-15T12:39:31.617+02:00
96097;Paldiski Maxima X pakiautomaat;0;EE;Harju maakond;Lääne-Harju vald;Paldiski linn;;Rae tn;;14b;;24.06282;59.347514;;;;;;;;;;;2025-01-17T11:41:48.223+02:00
96234;Peetri Keskuse pakiautomaat;0;EE;Harju maakond;Rae vald;Peetri alevik;;Küti tee;;4;;24.805811;59.397439;;;;;;;;;;;2025-05-26T10:21:32.670+03:00
96082;Peetri Selveri pakiautomaat;0;EE;Harju maakond;Rae vald;Peetri alevik;;Veesaare tee;;2;;24.811046;59.402735;;;;;;;;;;;2025-05-26T10:22:35.187+03:00
96150;Puhja Coop Konsumi pakiautomaat;0;EE;Tartu maakond;Elva vald;Puhja alevik;;Nooruse tn;;2;;26.313463;58.33525;;;;;;;;;;;2025-01-08T10:56:56.143+02:00
96256;Puka pakiautomaat;0;EE;Valga maakond;Otepää vald;Puka alevik;;Kooli tn;;6;;26.22753;58.052023;;;;;;;;;;;2025-01-08T12:08:31.547+02:00
96076;Pärnu Coop Maksimarketi pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Papsaare küla;;Haapsalu mnt;;43;;24.457352;58.395611;;;;;;;;;;;2025-05-23T04:00:12.960+03:00
96026;Pärnu Jannseni Rimi pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;J. V. Jannseni tn;;3/1;;24.49403;58.391712;;;;;;;;;;;2025-01-17T11:18:50.787+02:00
96040;Pärnu Kaubamajaka pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Papiniidu tn;;8;;24.550329;58.371106;;;;;;;;;;;2025-01-17T11:22:03.963+02:00
